GeneID	e125_1	e125_2	e125_3	e165_1	e165_2	e165_3	adult_1	adult_2	adult_3
ensmusg00000102070	8	8	9	19	10	10	35	30	31
ensmusg00000101249	10	3	4	26	14	19	34	27	27
ensmusg00000073725	536	405	670	1837	1159	2254	2888	3356	1904
ensmusg00000100808	0	0	0	0	0	0	0	0	0
ensmusg00000100483	0	0	0	0	0	0	0	0	0
ensmusg00000100450	0	0	0	0	0	0	0	0	0
ensmusg00000099392	0	0	0	0	0	0	0	0	0
ensmusg00000033569	1351	838	1339	862	1086	2147	718	747	564
ensmusg00000080849	0	0	0	0	0	0	0	0	0
ensmusg00000104257	35	0	10	1	0	2	2	8	1
ensmusg00000096866	1	0	0	2	0	0	0	0	0
ensmusg00000102296	4	2	7	0	1	6	1	0	0
ensmusg00000103209	85	18	20	18	3	7	3	12	11
ensmusg00000104027	30	12	30	20	2	10	2	4	17
ensmusg00000102407	69	8	37	5	13	15	1	21	7
ensmusg00000103214	50	8	35	15	24	28	1	9	6
ensmusg00000104100	44	2	39	11	5	4	4	10	13
ensmusg00000084740	0	2	0	0	0	0	0	0	0
ensmusg00000103889	67	7	28	16	5	8	1	2	16
ensmusg00000101301	24	0	6	1	0	7	0	1	8
ensmusg00000104221	73	20	34	24	2	19	21	26	16
ensmusg00000102250	179	27	96	38	33	22	45	35	8
ensmusg00000102317	210	36	102	44	20	20	24	9	45
ensmusg00000103563	81	14	39	17	2	23	2	27	4
ensmusg00000102465	118	10	59	33	15	28	13	16	31
ensmusg00000102659	92	9	81	25	30	16	11	14	3
ensmusg00000103924	161	26	129	53	11	32	14	52	15
ensmusg00000104132	190	24	89	51	10	49	5	33	34
ensmusg00000102747	365	50	207	76	53	56	48	64	22
ensmusg00000102386	26	9	34	14	16	16	16	2	5
ensmusg00000103004	10	6	20	4	0	10	2	11	11
ensmusg00000104516	6	7	22	6	2	5	1	5	11
ensmusg00000101618	0	0	0	0	0	0	0	0	0
ensmusg00000099458	0	0	0	0	0	0	0	0	0
ensmusg00000088111	0	0	0	0	0	0	0	0	0
ensmusg00000073722	1	0	3	0	0	0	0	0	0
ensmusg00000095256	3	4	0	1	3	3	0	1	0
ensmusg00000100310	0	0	0	0	0	0	0	0	0
ensmusg00000101514	0	0	0	2	0	0	0	0	0
ensmusg00000101033	0	0	0	0	0	0	0	0	0
ensmusg00000101372	0	0	0	0	0	0	6	0	0
ensmusg00000103241	0	0	0	0	0	0	0	0	0
ensmusg00000086240	8	5	11	1	0	7	0	2	0
ensmusg00000048411	1	0	0	0	0	0	0	0	0
ensmusg00000081557	0	0	0	0	0	0	0	0	0
ensmusg00000058590	0	0	0	0	0	0	0	0	0
ensmusg00000101235	0	0	0	0	0	0	0	0	0
ensmusg00000064433	0	0	0	0	0	0	0	0	0
ensmusg00000080625	0	0	0	0	0	0	0	0	0
ensmusg00000080391	0	0	0	0	0	0	0	0	0
ensmusg00000099257	0	0	0	0	0	0	0	0	0
ensmusg00000099492	19	36	29	9	12	8	13	9	10
ensmusg00000101726	0	1	0	0	0	0	0	0	0
ensmusg00000096829	0	0	0	0	0	0	0	0	0
ensmusg00000098883	0	0	0	0	0	0	0	0	0
ensmusg00000053185	0	0	0	0	0	0	0	0	0
ensmusg00000100261	0	1	0	0	0	0	0	0	6
ensmusg00000101180	0	0	0	0	0	0	0	0	0
ensmusg00000048874	2480	2284	3157	1920	1692	3277	1950	2341	1521
ensmusg00000103783	15	1	24	1	3	18	10	19	5
ensmusg00000104315	29	8	30	19	1	2	16	4	10
ensmusg00000026064	320	378	475	213	241	513	167	252	159
ensmusg00000086151	0	0	0	0	0	0	0	0	0
ensmusg00000086726	0	0	0	0	0	0	0	0	0
ensmusg00000087346	0	0	0	0	0	0	0	0	0
ensmusg00000100371	0	0	0	0	0	0	0	0	0
ensmusg00000100237	0	0	0	0	0	0	0	0	0
ensmusg00000098529	0	0	0	0	0	0	0	0	0
ensmusg00000086727	0	0	0	0	0	0	0	0	0
ensmusg00000100910	0	0	0	0	0	0	0	0	0
ensmusg00000099796	0	0	0	0	0	0	0	0	0
ensmusg00000050217	2	0	1	1	0	0	0	0	0
ensmusg00000026063	0	0	0	0	0	0	0	0	0
ensmusg00000077664	0	0	0	0	0	0	0	0	0
ensmusg00000100205	1	0	0	0	0	0	0	0	0
ensmusg00000100592	0	0	0	0	0	0	0	0	0
ensmusg00000094215	0	0	0	0	0	0	0	0	0
ensmusg00000101093	0	0	0	0	0	0	0	0	0
ensmusg00000070960	1	4	7	2	1	16	5	0	0
ensmusg00000088620	0	0	0	0	0	0	0	0	0
ensmusg00000082159	0	0	0	0	0	0	0	0	0
ensmusg00000026058	58	71	73	95	139	200	26	68	68
ensmusg00000064688	0	0	0	0	0	0	0	0	0
ensmusg00000103482	3	1	5	1	0	2	0	6	0
ensmusg00000104498	1	0	0	0	0	0	0	0	0
ensmusg00000104313	4	0	1	0	0	2	0	0	1
ensmusg00000102865	0	0	0	0	0	0	0	0	0
ensmusg00000102321	10	0	2	2	2	1	10	5	3
ensmusg00000091318	0	0	0	0	0	0	0	0	0
ensmusg00000089489	0	0	0	0	0	0	0	0	0
ensmusg00000104433	0	0	0	0	0	0	0	0	0
ensmusg00000089395	0	0	0	0	0	0	0	0	0
ensmusg00000102926	0	0	0	0	0	0	0	0	0
ensmusg00000100497	0	0	2	0	0	0	0	0	0
ensmusg00000102917	0	0	0	0	0	0	0	0	0
ensmusg00000100481	9	7	3	23	2	16	12	8	7
ensmusg00000100590	0	0	0	0	0	0	0	0	0
ensmusg00000088750	0	0	0	0	0	0	0	0	0
ensmusg00000104230	0	0	0	0	0	0	0	0	0
ensmusg00000101754	0	0	0	0	0	3	1	3	0
ensmusg00000065223	0	0	0	0	0	0	0	0	0
ensmusg00000100318	0	0	0	0	0	0	0	0	0
ensmusg00000101612	0	0	0	0	0	0	0	0	0
ensmusg00000065260	0	1	0	0	0	0	0	0	1
ensmusg00000026134	312	381	546	113	120	269	111	137	81
ensmusg00000101682	0	0	0	0	1	0	0	0	0
ensmusg00000102714	6	0	4	4	0	0	0	0	0
ensmusg00000102093	0	0	0	0	0	0	0	0	0
ensmusg00000103746	11	8	17	17	8	26	15	11	10
ensmusg00000102198	0	0	0	0	0	0	0	0	0
ensmusg00000004768	576	509	715	890	791	1605	876	1115	491
ensmusg00000042215	147	170	230	338	251	513	546	485	423
ensmusg00000103072	0	0	2	1	0	0	0	3	0
ensmusg00000042197	1868	1337	2129	1144	1247	2465	1144	1306	725
ensmusg00000081402	8	2	1	2	0	2	5	1	1
